Date,Close,High,Low,Open
2001-11-05,0.8973,0.9030,0.8940,0.9030
2001-11-06,0.8972,0.8993,0.8953,0.8973
2001-11-07,0.8950,0.9046,0.8935,0.8976
2001-11-08,0.8928,0.8995,0.8902,0.8952
2001-11-09,0.8938,0.8945,0.8887,0.8928
2001-11-12,0.8947,0.9012,0.8909,0.8936
2001-11-13,0.8811,0.8950,0.8788,0.8948
2001-11-14,0.8831,0.8841,0.8768,0.8810
2001-11-15,0.8813,0.8853,0.8798,0.8831
2001-11-16,0.8844,0.8865,0.8806,0.8812
2001-11-19,0.8794,0.8851,0.8763,0.8846
2001-11-20,0.8826,0.8843,0.8776,0.8795
2001-11-21,0.8792,0.8840,0.8750,0.8827
2001-11-22,0.8778,0.8796,0.8756,0.8790
2001-11-23,0.8774,0.8812,0.8733,0.8776
2001-11-26,0.8804,0.8830,0.8767,0.8775
2001-11-27,0.8817,0.8837,0.8765,0.8804
2001-11-28,0.8876,0.8877,0.8813,0.8818
2001-11-29,0.8889,0.8919,0.8854,0.8876
2001-11-30,0.8960,0.8981,0.8840,0.8887
2001-12-03,0.8915,0.8967,0.8886,0.8953
2001-12-04,0.8903,0.8922,0.8882,0.8918
2001-12-05,0.8865,0.8939,0.8842,0.8899
2001-12-06,0.8949,0.8952,0.8860,0.8868
2001-12-07,0.8894,0.8954,0.8881,0.8947
2001-12-10,0.8892,0.8917,0.8838,0.8889
2001-12-11,0.8914,0.8924,0.8879,0.8895
2001-12-12,0.8980,0.8987,0.8908,0.8911
2001-12-13,0.8932,0.8991,0.8918,0.8977
2001-12-14,0.9041,0.9053,0.8912,0.8933
2001-12-17,0.9025,0.9080,0.9014,0.9033
2001-12-18,0.9026,0.9040,0.8991,0.9023
2001-12-19,0.9002,0.9038,0.8956,0.9027
2001-12-20,0.8999,0.9013,0.8955,0.8998
2001-12-21,0.8868,0.9014,0.8854,0.8999
2001-12-24,0.8767,0.8907,0.8738,0.8891
2001-12-25,0.8765,0.8823,0.8762,0.8767
2001-12-26,0.8787,0.8819,0.8762,0.8765
2001-12-27,0.8827,0.8870,0.8772,0.8783
2001-12-28,0.8839,0.8844,0.8786,0.8828
2001-12-31,0.8911,0.8918,0.8822,0.8850
2002-01-01,0.8891,0.8901,0.8887,0.8891
2002-01-02,0.9036,0.9066,0.8880,0.8892
2002-01-03,0.9001,0.9060,0.8972,0.9039
2002-01-04,0.8951,0.9000,0.8938,0.8999
2002-01-07,0.8930,0.8999,0.8879,0.8956
2002-01-08,0.8922,0.8938,0.8880,0.8932
2002-01-09,0.8904,0.8952,0.8862,0.8923
2002-01-10,0.8912,0.8939,0.8896,0.8903
2002-01-11,0.8921,0.8931,0.8893,0.8915
2002-01-14,0.8942,0.8953,0.8913,0.8933
2002-01-15,0.8842,0.8947,0.8839,0.8939
2002-01-16,0.8825,0.8855,0.8800,0.8840
2002-01-17,0.8811,0.8852,0.8790,0.8823
2002-01-18,0.8843,0.8852,0.8792,0.8812
2002-01-21,0.8833,0.8866,0.8822,0.8836
2002-01-22,0.8856,0.8860,0.8807,0.8834
2002-01-23,0.8775,0.8890,0.8765,0.8856
2002-01-24,0.8765,0.8793,0.8747,0.8775
2002-01-25,0.8647,0.8785,0.8628,0.8766
2002-01-28,0.8610,0.8663,0.8567,0.8630
2002-01-29,0.8644,0.8656,0.8587,0.8611
2002-01-30,0.8614,0.8674,0.8597,0.8642
2002-01-31,0.8579,0.8646,0.8575,0.8613
2002-02-01,0.8614,0.8642,0.8560,0.8586
2002-02-04,0.8700,0.8711,0.8603,0.8620
2002-02-05,0.8671,0.8730,0.8649,0.8699
2002-02-06,0.8684,0.8706,0.8629,0.8673
2002-02-07,0.8706,0.8716,0.8642,0.8685
2002-02-08,0.8732,0.8753,0.8695,0.8704
2002-02-11,0.8765,0.8800,0.8699,0.8704
2002-02-12,0.8760,0.8799,0.8736,0.8764
2002-02-13,0.8713,0.8773,0.8700,0.8760
2002-02-14,0.8736,0.8744,0.8675,0.8712
2002-02-15,0.8723,0.8746,0.8689,0.8735
2002-02-18,0.8705,0.8742,0.8697,0.8733
2002-02-19,0.8758,0.8782,0.8657,0.8706
2002-02-20,0.8702,0.8782,0.8697,0.8756
2002-02-21,0.8686,0.8720,0.8677,0.8700
2002-02-22,0.8755,0.8776,0.8677,0.8685
2002-02-25,0.8687,0.8757,0.8683,0.8754
2002-02-26,0.8639,0.8720,0.8612,0.8689
2002-02-27,0.8654,0.8667,0.8620,0.8635
2002-02-28,0.8687,0.8695,0.8624,0.8655
2002-03-01,0.8648,0.8698,0.8628,0.8686
2002-03-04,0.8689,0.8714,0.8628,0.8646
2002-03-05,0.8714,0.8718,0.8645,0.8694
2002-03-06,0.8759,0.8775,0.8687,0.8715
2002-03-07,0.8833,0.8839,0.8736,0.8761
2002-03-08,0.8735,0.8838,0.8719,0.8833
2002-03-11,0.8755,0.8772,0.8728,0.8737
2002-03-12,0.8760,0.8764,0.8701,0.8753
2002-03-13,0.8764,0.8783,0.8721,0.8760
2002-03-14,0.8822,0.8844,0.8750,0.8762
2002-03-15,0.8822,0.8868,0.8805,0.8823
2002-03-18,0.8817,0.8830,0.8779,0.8814
2002-03-19,0.8826,0.8842,0.8793,0.8819
2002-03-20,0.8840,0.8858,0.8774,0.8827
2002-03-21,0.8817,0.8860,0.8802,0.8841
2002-03-22,0.8765,0.8826,0.8747,0.8816
2002-03-25,0.8771,0.8782,0.8748,0.8765
2002-03-26,0.8767,0.8794,0.8728,0.8771
2002-03-27,0.8726,0.8773,0.8716,0.8767
2002-03-28,0.8702,0.8742,0.8697,0.8726
2002-03-29,0.8714,0.8727,0.8697,0.8703
2002-04-01,0.8803,0.8821,0.8709,0.8715
2002-04-02,0.8789,0.8815,0.8769,0.8804
2002-04-03,0.8809,0.8830,0.8765,0.8789
2002-04-04,0.8777,0.8856,0.8762,0.8809
2002-04-05,0.8790,0.8814,0.8762,0.8776
2002-04-08,0.8739,0.8796,0.8733,0.8788
2002-04-09,0.8804,0.8813,0.8728,0.8740
2002-04-10,0.8803,0.8826,0.8784,0.8805
2002-04-11,0.8828,0.8845,0.8782,0.8804
2002-04-12,0.8792,0.8835,0.8769,0.8830
2002-04-15,0.8800,0.8823,0.8782,0.8797
2002-04-16,0.8818,0.8839,0.8786,0.8802
2002-04-17,0.8892,0.8895,0.8812,0.8817
2002-04-18,0.8900,0.8920,0.8855,0.8891
2002-04-19,0.8915,0.8926,0.8876,0.8901
2002-04-22,0.8895,0.8916,0.8863,0.8916
2002-04-23,0.8884,0.8902,0.8853,0.8895
2002-04-24,0.8918,0.8930,0.8870,0.8885
2002-04-25,0.8978,0.8992,0.8911,0.8919
2002-04-26,0.9015,0.9016,0.8955,0.8980
2002-04-29,0.9034,0.9049,0.9005,0.9011
2002-04-30,0.9006,0.9042,0.8986,0.9032
2002-05-01,0.9056,0.9083,0.8988,0.9004
2002-05-02,0.9027,0.9078,0.9009,0.9058
2002-05-03,0.9165,0.9174,0.9021,0.9025
2002-05-06,0.9165,0.9181,0.9131,0.9181
2002-05-07,0.9149,0.9189,0.9111,0.9166
2002-05-08,0.9052,0.9156,0.9035,0.9149
2002-05-09,0.9085,0.9113,0.9033,0.9050
2002-05-10,0.9135,0.9149,0.9080,0.9087
2002-05-13,0.9117,0.9168,0.9093,0.9130
2002-05-14,0.9022,0.9126,0.9007,0.9116
2002-05-15,0.9112,0.9117,0.8990,0.9023
2002-05-16,0.9118,0.9140,0.9082,0.9111
2002-05-17,0.9213,0.9220,0.9108,0.9119
2002-05-20,0.9222,0.9229,0.9177,0.9203
2002-05-21,0.9199,0.9227,0.9158,0.9221
2002-05-22,0.9259,0.9278,0.9173,0.9196
2002-05-23,0.9214,0.9269,0.9177,0.9257
2002-05-24,0.9211,0.9230,0.9156,0.9215
2002-05-27,0.9209,0.9221,0.9180,0.9199
2002-05-28,0.9291,0.9306,0.9193,0.9207
2002-05-29,0.9365,0.9368,0.9267,0.9290
2002-05-30,0.9387,0.9414,0.9338,0.9364
2002-05-31,0.9323,0.9400,0.9279,0.9385
2002-06-03,0.9375,0.9396,0.9300,0.9336
2002-06-04,0.9418,0.9451,0.9373,0.9376
2002-06-05,0.9391,0.9417,0.9350,0.9412
2002-06-06,0.9456,0.9471,0.9333,0.9391
2002-06-07,0.9441,0.9487,0.9423,0.9456
2002-06-10,0.9433,0.9482,0.9385,0.9433
2002-06-11,0.9469,0.9472,0.9401,0.9433
2002-06-12,0.9448,0.9505,0.9433,0.9468
2002-06-13,0.9418,0.9473,0.9392,0.9450
2002-06-14,0.9453,0.9520,0.9410,0.9418
2002-06-17,0.9438,0.9467,0.9407,0.9450
2002-06-18,0.9510,0.9519,0.9431,0.9436
2002-06-19,0.9563,0.9580,0.9503,0.9511
2002-06-20,0.9636,0.9648,0.9550,0.9565
2002-06-21,0.9701,0.9718,0.9623,0.9636
2002-06-24,0.9778,0.9813,0.9670,0.9688
2002-06-25,0.9774,0.9780,0.9656,0.9702
2002-06-26,0.9862,0.9944,0.9763,0.9776
2002-06-27,0.9878,0.9897,0.9787,0.9862
2002-06-28,0.9916,0.9990,0.9833,0.9877
2002-07-01,0.9870,0.9972,0.9859,0.9901
2002-07-02,0.9834,0.9919,0.9795,0.9872
2002-07-03,0.9800,0.9872,0.9764,0.9835
2002-07-04,0.9774,0.9810,0.9744,0.9800
2002-07-05,0.9732,0.9818,0.9712,0.9772
2002-07-08,0.9876,0.9882,0.9727,0.9729
2002-07-09,0.9941,0.9952,0.9866,0.9878
2002-07-10,0.9884,0.9968,0.9856,0.9941
2002-07-11,0.9907,0.9939,0.9830,0.9884
2002-07-12,0.9903,0.9923,0.9850,0.9904
2002-07-15,1.0054,1.0088,0.9906,0.9921
2002-07-16,1.0077,1.0147,1.0020,1.0055
2002-07-17,1.0093,1.0160,1.0029,1.0078
2002-07-18,1.0095,1.0099,1.0034,1.0090
2002-07-19,1.0132,1.0209,1.0088,1.0097
2002-07-22,1.0069,1.0134,1.0051,1.0126
2002-07-23,0.9862,1.0089,0.9843,1.0069
2002-07-24,0.9962,0.9978,0.9857,0.9861
2002-07-25,1.0015,1.0035,0.9927,0.9961
2002-07-26,0.9868,1.0067,0.9856,1.0018
2002-07-29,0.9804,0.9864,0.9768,0.9857
2002-07-30,0.9842,0.9891,0.9775,0.9806
2002-07-31,0.9768,0.9855,0.9756,0.9840
2002-08-01,0.9836,0.9857,0.9721,0.9776
2002-08-02,0.9865,0.9917,0.9825,0.9833
2002-08-05,0.9809,0.9878,0.9803,0.9873
2002-08-06,0.9648,0.9819,0.9620,0.9810
2002-08-07,0.9742,0.9763,0.9637,0.9648
2002-08-08,0.9657,0.9772,0.9639,0.9742
2002-08-09,0.9703,0.9739,0.9648,0.9657
2002-08-12,0.9787,0.9799,0.9684,0.9704
2002-08-13,0.9812,0.9828,0.9749,0.9786
2002-08-14,0.9819,0.9893,0.9795,0.9811
2002-08-15,0.9835,0.9848,0.9745,0.9820
2002-08-16,0.9837,0.9865,0.9780,0.9833
2002-08-19,0.9767,0.9870,0.9747,0.9849
2002-08-20,0.9789,0.9807,0.9728,0.9766
2002-08-21,0.9795,0.9845,0.9749,0.9786
2002-08-22,0.9700,0.9813,0.9670,0.9796
2002-08-23,0.9718,0.9730,0.9661,0.9696
2002-08-26,0.9721,0.9743,0.9682,0.9728
2002-08-27,0.9830,0.9838,0.9698,0.9721
2002-08-28,0.9800,0.9836,0.9788,0.9830
2002-08-29,0.9835,0.9884,0.9768,0.9800
2002-08-30,0.9816,0.9863,0.9791,0.9837
2002-09-02,0.9846,0.9855,0.9793,0.9823
2002-09-03,0.9962,0.9973,0.9824,0.9845
2002-09-04,0.9910,0.9975,0.9902,0.9965
2002-09-05,0.9930,0.9989,0.9885,0.9909
2002-09-06,0.9808,0.9954,0.9805,0.9930
2002-09-09,0.9785,0.9828,0.9778,0.9813
2002-09-10,0.9747,0.9840,0.9722,0.9787
2002-09-11,0.9746,0.9768,0.9697,0.9747
2002-09-12,0.9810,0.9816,0.9736,0.9747
2002-09-13,0.9722,0.9837,0.9700,0.9817
2002-09-16,0.9709,0.9726,0.9663,0.9704
2002-09-17,0.9708,0.9713,0.9605,0.9709
2002-09-18,0.9761,0.9793,0.9684,0.9706
2002-09-19,0.9845,0.9859,0.9751,0.9760
2002-09-20,0.9803,0.9875,0.9780,0.9842
2002-09-23,0.9775,0.9860,0.9748,0.9816
2002-09-24,0.9811,0.9836,0.9755,0.9776
2002-09-25,0.9761,0.9851,0.9755,0.9812
2002-09-26,0.9773,0.9809,0.9725,0.9763
2002-09-27,0.9793,0.9801,0.9744,0.9772
2002-09-30,0.9861,0.9898,0.9795,0.9798
2002-10-01,0.9847,0.9892,0.9835,0.9864
2002-10-02,0.9846,0.9861,0.9800,0.9848
2002-10-03,0.9865,0.9908,0.9840,0.9843
2002-10-04,0.9794,0.9885,0.9779,0.9866
2002-10-07,0.9819,0.9830,0.9775,0.9790
2002-10-08,0.9770,0.9843,0.9760,0.9820
2002-10-09,0.9901,0.9912,0.9767,0.9769
2002-10-10,0.9860,0.9926,0.9846,0.9900
2002-10-11,0.9869,0.9880,0.9830,0.9859
2002-10-14,0.9865,0.9891,0.9852,0.9865
2002-10-15,0.9804,0.9888,0.9788,0.9865
2002-10-16,0.9815,0.9836,0.9795,0.9803
2002-10-17,0.9717,0.9822,0.9694,0.9816
2002-10-18,0.9715,0.9742,0.9694,0.9715
2002-10-21,0.9737,0.9764,0.9680,0.9719
2002-10-22,0.9785,0.9800,0.9713,0.9739
2002-10-23,0.9764,0.9798,0.9743,0.9783
2002-10-24,0.9771,0.9774,0.9720,0.9764
2002-10-25,0.9765,0.9795,0.9751,0.9772
2002-10-28,0.9840,0.9848,0.9722,0.9764
2002-10-29,0.9846,0.9867,0.9801,0.9841
2002-10-30,0.9844,0.9852,0.9812,0.9846
2002-10-31,0.9889,0.9907,0.9830,0.9844
2002-11-01,0.9962,1.0003,0.9880,0.9892
2002-11-04,0.9975,0.9975,0.9926,0.9966
2002-11-05,0.9995,1.0044,0.9960,0.9969
2002-11-06,1.0025,1.0031,0.9936,0.9991
2002-11-07,1.0090,1.0097,0.9988,1.0027
2002-11-08,1.0130,1.0151,1.0071,1.0090
2002-11-11,1.0098,1.0171,1.0090,1.0130
2002-11-12,1.0114,1.0135,1.0065,1.0099
2002-11-13,1.0063,1.0130,1.0040,1.0113
2002-11-14,1.0055,1.0099,1.0026,1.0065
2002-11-15,1.0089,1.0096,1.0004,1.0055
2002-11-18,1.0080,1.0123,1.0054,1.0090
2002-11-19,1.0030,1.0141,1.0005,1.0083
2002-11-20,1.0015,1.0044,0.9987,1.0028
2002-11-21,1.0006,1.0040,0.9976,1.0018
2002-11-22,0.9971,1.0039,0.9955,1.0006
2002-11-25,0.9909,0.9967,0.9890,0.9967
2002-11-26,0.9922,0.9936,0.9892,0.9909
2002-11-27,0.9900,0.9941,0.9874,0.9921
2002-11-28,0.9944,0.9959,0.9890,0.9901
2002-11-29,0.9942,0.9956,0.9913,0.9942
2002-12-02,0.9972,0.9984,0.9857,0.9948
2002-12-03,0.9955,1.0006,0.9949,0.9971
2002-12-04,0.9996,1.0033,0.9949,0.9953
2002-12-05,1.0003,1.0024,0.9970,0.9997
2002-12-06,1.0093,1.0128,0.9992,1.0004
2002-12-09,1.0098,1.0119,1.0063,1.0114
2002-12-10,1.0088,1.0140,1.0067,1.0097
2002-12-11,1.0080,1.0101,1.0056,1.0089
2002-12-12,1.0186,1.0196,1.0070,1.0081
2002-12-13,1.0224,1.0259,1.0161,1.0186
2002-12-16,1.0222,1.0250,1.0189,1.0236
2002-12-17,1.0282,1.0333,1.0207,1.0219
2002-12-18,1.0260,1.0296,1.0223,1.0280
2002-12-19,1.0266,1.0290,1.0196,1.0260
2002-12-20,1.0268,1.0277,1.0239,1.0268
2002-12-23,1.0256,1.0317,1.0214,1.0274
2002-12-24,1.0299,1.0325,1.0250,1.0258
2002-12-25,1.0302,1.0326,1.0276,1.0297
2002-12-26,1.0370,1.0377,1.0311,1.0318
2002-12-27,1.0440,1.0442,1.0357,1.0369
2002-12-30,1.0478,1.0484,1.0401,1.0426
2002-12-31,1.0497,1.0503,1.0450,1.0479
2003-01-01,1.0489,1.0503,1.0461,1.0495
2003-01-02,1.0360,1.0496,1.0331,1.0489
2003-01-03,1.0415,1.0436,1.0334,1.0360
2003-01-06,1.0472,1.0494,1.0413,1.0426
2003-01-07,1.0410,1.0472,1.0390,1.0469
2003-01-08,1.0487,1.0535,1.0357,1.0414
2003-01-09,1.0484,1.0539,1.0457,1.0486
2003-01-10,1.0583,1.0585,1.0469,1.0486
2003-01-13,1.0547,1.0582,1.0522,1.0572
2003-01-14,1.0567,1.0599,1.0533,1.0549
2003-01-15,1.0546,1.0592,1.0500,1.0567
2003-01-16,1.0615,1.0627,1.0538,1.0545
2003-01-17,1.0662,1.0679,1.0600,1.0614
2003-01-20,1.0681,1.0690,1.0630,1.0653
2003-01-21,1.0716,1.0734,1.0625,1.0681
2003-01-22,1.0716,1.0744,1.0679,1.0715
2003-01-23,1.0758,1.0777,1.0702,1.0716
2003-01-24,1.0838,1.0855,1.0737,1.0756
2003-01-27,1.0851,1.0907,1.0779,1.0838
2003-01-28,1.0817,1.0858,1.0778,1.0850
2003-01-29,1.0829,1.0900,1.0806,1.0819
2003-01-30,1.0801,1.0845,1.0727,1.0831
2003-01-31,1.0754,1.0834,1.0720,1.0802
2003-02-03,1.0760,1.0791,1.0690,1.0781
2003-02-04,1.0871,1.0908,1.0758,1.0763
2003-02-05,1.0802,1.0936,1.0731,1.0876
2003-02-06,1.0832,1.0857,1.0760,1.0802
2003-02-07,1.0830,1.0864,1.0722,1.0834
2003-02-10,1.0744,1.0827,1.0716,1.0807
2003-02-11,1.0732,1.0762,1.0660,1.0745
2003-02-12,1.0718,1.0770,1.0701,1.0734
2003-02-13,1.0837,1.0861,1.0700,1.0719
2003-02-14,1.0792,1.0854,1.0759,1.0837
2003-02-17,1.0733,1.0778,1.0670,1.0773
2003-02-18,1.0684,1.0756,1.0675,1.0735
2003-02-19,1.0755,1.0765,1.0665,1.0687
2003-02-20,1.0822,1.0835,1.0736,1.0758
2003-02-21,1.0764,1.0847,1.0748,1.0822
2003-02-24,1.0790,1.0805,1.0705,1.0731
2003-02-25,1.0765,1.0821,1.0740,1.0790
2003-02-26,1.0789,1.0811,1.0726,1.0764
2003-02-27,1.0767,1.0837,1.0733,1.0788
2003-02-28,1.0801,1.0807,1.0729,1.0765
2003-03-03,1.0884,1.0898,1.0760,1.0773
2003-03-04,1.0875,1.0936,1.0874,1.0884
2003-03-05,1.0972,1.1001,1.0874,1.0876
2003-03-06,1.0971,1.1007,1.0923,1.0972
2003-03-07,1.1008,1.1067,1.0960,1.0972
2003-03-10,1.1045,1.1067,1.0997,1.1012
2003-03-11,1.1031,1.1084,1.1000,1.1045
2003-03-12,1.1001,1.1057,1.0978,1.1028
2003-03-13,1.0806,1.1009,1.0790,1.1001
2003-03-14,1.0742,1.0819,1.0689,1.0808
2003-03-17,1.0637,1.0843,1.0586,1.0762
2003-03-18,1.0630,1.0655,1.0539,1.0645
2003-03-19,1.0563,1.0655,1.0557,1.0628
2003-03-20,1.0613,1.0670,1.0529,1.0568
2003-03-21,1.0530,1.0622,1.0499,1.0616
2003-03-24,1.0644,1.0675,1.0564,1.0577
2003-03-25,1.0652,1.0721,1.0623,1.0645
2003-03-26,1.0683,1.0702,1.0619,1.0653
2003-03-27,1.0681,1.0744,1.0671,1.0680
2003-03-28,1.0778,1.0799,1.0667,1.0683
2003-03-31,1.0895,1.0919,1.0777,1.0795
2003-04-01,1.0888,1.0930,1.0861,1.0895
2003-04-02,1.0757,1.0957,1.0748,1.0886
2003-04-03,1.0730,1.0790,1.0682,1.0761
2003-04-04,1.0727,1.0768,1.0679,1.0729
2003-04-07,1.0653,1.0676,1.0551,1.0667
2003-04-08,1.0712,1.0725,1.0640,1.0657
2003-04-09,1.0762,1.0787,1.0672,1.0710
2003-04-10,1.0792,1.0830,1.0749,1.0762
2003-04-11,1.0751,1.0803,1.0689,1.0794
2003-04-14,1.0776,1.0810,1.0712,1.0742
2003-04-15,1.0813,1.0819,1.0730,1.0778
2003-04-16,1.0909,1.0919,1.0780,1.0811
2003-04-17,1.0883,1.0972,1.0865,1.0910
2003-04-18,1.0880,1.0897,1.0867,1.0882
2003-04-21,1.0864,1.0906,1.0819,1.0892
2003-04-22,1.0970,1.1002,1.0845,1.0864
2003-04-23,1.0961,1.0983,1.0918,1.0967
2003-04-24,1.1024,1.1047,1.0942,1.0962
2003-04-25,1.1021,1.1051,1.0957,1.1023
2003-04-28,1.0980,1.1078,1.0973,1.1035
2003-04-29,1.1066,1.1085,1.0930,1.0986
2003-04-30,1.1175,1.1187,1.1052,1.1064
2003-05-01,1.1227,1.1285,1.1149,1.1174
2003-05-02,1.1225,1.1271,1.1184,1.1228
2003-05-05,1.1278,1.1302,1.1202,1.1225
2003-05-06,1.1417,1.1435,1.1270,1.1276
2003-05-07,1.1370,1.1453,1.1327,1.1417
2003-05-08,1.1481,1.1505,1.1303,1.1367
2003-05-09,1.1490,1.1535,1.1434,1.1494
2003-05-12,1.1540,1.1621,1.1526,1.1526
2003-05-13,1.1512,1.1570,1.1460,1.1540
2003-05-14,1.1497,1.1534,1.1463,1.1512
2003-05-15,1.1383,1.1497,1.1368,1.1497
2003-05-16,1.1591,1.1591,1.1367,1.1382
2003-05-19,1.1641,1.1890,1.1619,1.1669
2003-05-20,1.1734,1.1734,1.1598,1.1661
2003-05-21,1.1640,1.1742,1.1620,1.1706
2003-05-22,1.1696,1.1728,1.1617,1.1668
2003-05-23,1.1836,1.1842,1.1663,1.1691
2003-05-26,1.1873,1.1875,1.1797,1.1823
2003-05-27,1.1811,1.1929,1.1799,1.1864
2003-05-28,1.1761,1.1857,1.1704,1.1831
2003-05-29,1.1869,1.1902,1.1688,1.1761
2003-05-30,1.1786,1.1915,1.1736,1.1868
2003-06-02,1.1753,1.1769,1.1648,1.1706
2003-06-03,1.1749,1.1780,1.1684,1.1758
2003-06-04,1.1646,1.1749,1.1631,1.1734
2003-06-05,1.1844,1.1888,1.1625,1.1685
2003-06-06,1.1698,1.1879,1.1680,1.1844
2003-06-09,1.1741,1.1788,1.1650,1.1706
2003-06-10,1.1676,1.1747,1.1662,1.1741
2003-06-11,1.1756,1.1782,1.1657,1.1674
2003-06-12,1.1762,1.1808,1.1703,1.1757
2003-06-13,1.1870,1.1879,1.1733,1.1763
2003-06-16,1.1819,1.1928,1.1733,1.1870
2003-06-17,1.1799,1.1867,1.1766,1.1835
2003-06-18,1.1688,1.1802,1.1661,1.1800
2003-06-19,1.1710,1.1739,1.1580,1.1690
2003-06-20,1.1583,1.1733,1.1549,1.1714
2003-06-23,1.1550,1.1605,1.1503,1.1594
2003-06-24,1.1508,1.1584,1.1475,1.1552
2003-06-25,1.1538,1.1623,1.1489,1.1506
2003-06-26,1.1425,1.1562,1.1417,1.1538
2003-06-27,1.1418,1.1469,1.1397,1.1426
2003-06-30,1.1519,1.1533,1.1395,1.1426
2003-07-01,1.1562,1.1610,1.1491,1.1492
2003-07-02,1.1526,1.1589,1.1498,1.1560
2003-07-03,1.1484,1.1544,1.1430,1.1540
2003-07-04,1.1489,1.1502,1.1443,1.1485
2003-07-07,1.1318,1.1476,1.1308,1.1476
2003-07-08,1.1301,1.1353,1.1255,1.1325
2003-07-09,1.1339,1.1367,1.1302,1.1303
2003-07-10,1.1387,1.1392,1.1309,1.1341
2003-07-11,1.1310,1.1389,1.1270,1.1385
2003-07-14,1.1280,1.1308,1.1240,1.1281
2003-07-15,1.1188,1.1337,1.1154,1.1277
2003-07-16,1.1211,1.1232,1.1105,1.1192
2003-07-17,1.1212,1.1250,1.1155,1.1211
2003-07-18,1.1287,1.1306,1.1168,1.1216
2003-07-21,1.1331,1.1354,1.1253,1.1260
2003-07-22,1.1328,1.1372,1.1306,1.1343
2003-07-23,1.1480,1.1489,1.1311,1.1325
2003-07-24,1.1464,1.1511,1.1421,1.1462
